	id	sent0	label
0	0	Sunny chechi fans evide like adichu power kaniku🤣🤣	unknown_state
1	1	Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu	Positive
2	2	ഏട്ടന്റെ പുതിയ പടത്തിനു വേണ്ടി കാത്തിരിക്കുന്നവർ ലൈക്‌ ബട്ടൺ അടിച്ചു പോളിക്കോ-----------	unknown_state
3	3	ഇനി ലാലേട്ടന്റെ വേട്ട തുടങ്ങാൻ പോകുന്നു....... മുൻ കാല collection recordukal ഭേതിച്ചിരിക്കും	Positive
4	4	Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya	Positive
5	5	Malayalam padam thanne aanu 2020 vere level	Positive
6	6	History of Mammukka   kattawaiting and support love u Mammukka	Positive
7	7	yaaru andha mech le penne ?	unknown_state
9	9	ജോഷി രണ്ടുംകല്പിച്ചു ആണെല്ലോ... സംഭവം എന്തായാലും പൊളിക്കും	Positive
10	10	ഇതിൽ സ്കോർ ചെയ്യാൻ പോവുന്നത് സുഷിൻ ശ്യാം തന്നെ	unknown_state
11	11	സ്വാസിക.... സ്വാസു.... love u dear.... all the best മുത്തേ... ALL KERALA SWASIKA FANS ASSOCIATION.....	Positive
12	12	ഒരു കാതിൽ ഓല ഞാൻ കണ്ടീല ... ചെക്ക്	unknown_state
13	13	SIDDIQUE nde hit aaya last movie ethaarunnu	unknown_state
14	14	ആദ്യ നൂറു കോടി വേണ്ടവർ... adi mwonoose like	unknown_state
16	16	Ithinidakk 2 pearum dislike paniyum kashttam	Negative
17	17	Vilan kanndide chiri adakkan pattath njan kannde film  ithannu	unknown_state
19	19	last le aa idi ntammooo Range saanam	Positive
20	20	ikka kidukki kalanju ethe mass Enne paranjal pora marana mass	Positive
21	21	സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩	Positive
22	22	Mass Director Joshi Sir ഗംഭീര തിരിച്ചുവരവ് 🤗🤗🤗🤗	Positive
24	24	ശ്രുതി ഉണ്ട് അല്ലോ ഇതിൽ ചെറിയ റോൾ	unknown_state
25	25	Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..	Negative
26	26	കാണാതെ പോയ മൂക്കുത്തി വേറെ ആണ് . ഇപ്പൊ ഇട്ടിരിക്കുന്നത് സ്പെയർ മൂക്കുത്തി ആണ് .	unknown_state
27	27	Ee onam lalettanum pellerum ang edukkuvaaa	Positive
28	28	Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...	unknown_state
29	29	After Mohanlals ആര്യൻ its Nivins മൂത്തോൻ  ബോംബെ  അധോലോകം	unknown_state
30	30	Lalletan fans like adikku . Fans power kaaniku	unknown_state
31	31	പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .	Mixed_feelings
33	33	Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil	unknown_state
