	id	sent0	label
1	1	I love you ajith very I like	Positive
3	3	Vijay Annaa  Ur Maassssss Therrrrriiiiii	Positive
4	4	நம்ப நடே நாசாமா தான் போச்சி	Negative
5	5	Gommala...Ending Vera level da deii  #GetRajinified	Positive
6	6	Vjs Anna kaaga like potavanga  Like pannuga	unknown_state
7	7	Theri!!! Semma Theri!! JOSEPH kuruvilla & VIJAY kumar are just awesome kumar	Positive
8	8	Ithu yethu maathiri illama puthu maathiyaala irukku	Positive
9	9	Wow! Back to Baasha mode..thalaivaaaa.petta paraakkkkk	Negative
10	10	it not vijay hair ,,,, hair setup paaa	Mixed_feelings
12	12	Ye Kya kardi kangna ne.....? 🤣🤣	not-Tamil
13	13	சாதி இல்லனா தமிழ்நாடும் இல்லைஅரசியலும் இல்லை வன்னியர் இல்லன அரசியலே இல்லை	unknown_state
14	14	ஆண்ட சாதி, ஆண்ட சாதி  னு ஆயிரம் முறை சொல்லி , அதில் இருக்கும் தப்பை மட்டும் வெளிச்சம்போட்டு,எல்லாரையும் நோகடித்து, குற்ற உணர்ச்சி அடையச் செய்தால் அது புரட்சிப் படம். சமூகத்தில் இருக்கும் உண்மையான நாடகக் காதல் விஷயத்தை சொன்னால் அது சாதிப் படம். அவ்ளோதான் சார் போராலீஸ்!!	Mixed_feelings
17	17	டேய் பா ரஞ்சித் நாங்களும் படம் எடுப் போண்டா	Positive
19	19	Thaaaaaa vera level... #str  #aravindhsamy #VJS #arunvijay	Positive
20	20	Arjun sir kaage poi padam pakelam	Positive
22	22	விழிப்புணர்வு குழந்தை பருவத்தில் இருந்தே பெற்றோர்கள் சொல்லி கொடுத்து வளர்கனும், கட்டப்பஞ்சாயத்து செய்பவனை,அனைவரும் ஒன்று சேர்ந்து, தனிமை படுத்தவேண்டும்,பெண்களின் மானத்துடன் விளையாடும் அமைப்பு அழியும் காலம் இது	unknown_state
23	23	90's kids entertainer.. If u agree like here	unknown_state
24	24	Rasiganai rasikum Thalaivaaaaa.....unakkaka tha Thala waiting.......	Positive
25	25	ayyayyo . sruthihassan     . ellame poch	Negative
26	26	Tamilnadu ahhh THALA voice nala Thalahduthu	Positive
28	28	Padam vettri pera vaazhthukkal..Jaadhi paarkadha manidhargal samoogathil irundhu oruvan	Positive
29	29	இந்த ட்ரைலர் புடிக்காம dislike போற்றவங்கிய யாருலாம்னா... நாடக காதல் பண்ணவனும்.., நாடக காதல் பண்ணபோறவனும்..,நாடக காதல் பனிட்டுஇருபவனும்தான் இந்த ட்ரைலர் புடிக்காம dislike பன்னுவாங்கிய.., நாடக காதல் கூ***ரொம்ப நாள் என் மனதில் இருந்து வெளில சொல்ல ஆதங்கப்பட்டத அப்பிடியே பாக்கிறேன் திரௌபதி டைரக்டர் @மோகன் உங்களுக்கு என்னுடைய மனசார மனமார்ந்த நன்றி	Mixed_feelings
30	30	Ithu puthusa irukune puthusa irukku. .....	unknown_state
31	31	Vera level. . Waiting for FDFS	Positive
32	32	great bgm by santhosh Narayanan... outstanding	Positive
34	34	Telugu  Thala fan's hit likes	Positive
35	35	Kongu maveran yuvaraj avargalin valkaiyai pradibalikum intha thiraikaviam vetri adaya vazthukalnamakkal kongu vellar sangam sarbil vazthukal	Positive
36	36	நான் #உடையார் அனைத்து சாதியும் ஒன்றினைந்து நாடக காதல் ரஞ்சித் திருமா போன்ற தெருநாய்களை ஒழிகக் வேண்டும்...	Positive
37	37	செரிமானக்கோளாறை சீராக்கி பசியைதுாண்டும் கொய்யா இலையின் சிறப்புத்தமிழ் ,  நெறியான வாழ்வுமுறை சரியான வாழ்க்கை தரும் ௭ன வரலாறு கூறும் தமிழ்  ,  விரிவான வளமை கொண்டு அறியணை அமா்ந்ததமிழ் அறிய மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை யூ டியூப் ல் காணுங்கள் நன்றி.	Mixed_feelings
39	39	Nice Teaser and thuppakki. 2 mathiri erukku Vera level teaser	Positive
41	41	night full ah watch panna pora trailer ah nega yarum night full ah PAKKA poringala Frnd	Mixed_feelings
42	42	சாதிகள் இல்லையடி பாப்பா....பாரதியின் கனவு வெறும் கனவாகவே போய்விட்டது...	unknown_state
43	43	Saavatha iruntha sanda poottu saavanu sir Payanthu kaala vilunthu saava koodathu	unknown_state
44	44	Va Va Bhairva....Ungal varugaikaga kathirukiroom....Kovai Youth Welfare Vijay Fans Club	Positive
46	46	Rakul & Sai Pallavi My Combo	Positive
47	47	neraya neraya neraya neraya neraya neraya what a powerful performance.	Positive
48	48	Vandha raja vah dhaan varuven  Vera level str	unknown_state
49	49	தன் அரசியல் லாபத்திற்காக, மாணவர்களையும் இளைஞர்களையும் சீரழித்துள்ளார், சரக்கு மிடுக்கு தலைவர்.	unknown_state
50	50	அண்ணா செம மாஸ் ,படம் மாபெரும் வெற்றி பெறும்	Positive
51	51	எந்தெந்த youtube channel காரங்க எல்லாம் இதை ஜாதி வெறி படம்குறாங்களோ அவங்கெல்லாம் அந்த ஜாதி என்றறிக.	Negative
52	52	Bgm fight vera level  Waiting augest	Positive
53	53	Dai pundaikku poranthavane ni la vijay anna va pathu sirikka  Dai unga amma yepdi da unna petha  Devidiya intha comments ku ans pannu la  Ni thoothukudi va un sunni ah vetti poduren	Negative
54	54	you are anti indian tamil 🤣	Negative
55	55	Heyyy ithu 96 yaara ematharainga 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣	Positive
56	56	Avengers சார்பாக வெற்றி பெற வாழ்த்துகள்!!! அவெஞ்சர்ஸ் அசெம்பில்!	unknown_state
57	57	taliva we r waiting..s3 da ..	Mixed_feelings
58	58	1:23 ku yaarellam gubeer nu sirichinga	unknown_state
59	59	Vera level dhanush anna GV bgm	Positive
60	60	when i am seeing vikram here its like john wick	Positive
61	61	Today trailer paaka yaarellam wait panreenga	unknown_state
62	62	mayiru maadiri iruku thevidiya pasagala Rajinikath vaithu vilambaram theduriga	Negative
63	63	Saguni padam madhiri theriudhu,soori irukkuradha pardha romba bayama irukkudhu	Mixed_feelings
64	64	Ada paavingala mangatha theme. Aaa. Slow. Motion la potrukinga.. 🤬🤬	Negative
66	66	wowwwwwwwwww thalaya aaaaaa masssssssss dialogue waiting for thala rage	Positive
67	67	3 supar dupar star akshaya rajnikant and any jackson wow amazing	Positive
68	68	Coffee solunga marana masss thala	Positive
69	69	598K left for 15M views	unknown_state
70	70	1.56 yaru Instagram lae paathathu leak aanathu	Negative
71	71	Koiyala enna style Da thalaivar....pinara Thalaiva..	Positive
72	72	Suriya anna kola waiting Thalaiva Kerala Singakotta Therikkapoguthu	Positive
73	73	Kiruku thanamana oru trailer...idhunala yaruku enna use	Mixed_feelings
74	74	NGK ku Marana waiting yapo varum	Positive
75	75	Devendhira da....Suma va yaru history ithu devadhiran...la	Positive
76	76	என்னப்பா தமிழ் டீசர்ல ஒரு வரி கூட தமிழில் இல்ல.lyric வீடியோ தான் அப்படி போடுறீங்க.இப்ப டீசருமா,உங்க போக்கே பிடிக்கலப்பா.	Negative
77	77	My dear 47k dislikers RIP,  verithanam varatum  anga papom.	Positive
78	78	Cmnt section pona like here like here nu uyira vanguvanungalehh🤔🤥	Positive
81	81	vera level... pakka blockbuster for sure... :) all d best anna (y)	Positive
82	82	வன்னியர் சாதி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்....	Positive
83	83	Yuvan bgm vera level i love u yuvan anna	Positive
84	84	Rishi Richard Fans Club சார்பாக படம் வெற்றியடைய வாழ்த்துகள்	Positive
85	85	ஜெயம் ரவி அண்ணா வாழ்த்துக்கள் நீங்க இதே மாதிரி நிறைய புதுசு புதுசா முயற்சி பண்ணுங்க அண்ணா ஐ லைக் யு அண்ணா	Positive
86	86	படம் வெற்றிகரமாக அமைய வாழ்த்துக்கள் செளராஷ்டிரா சமூகம் சார்பாக	Positive
88	88	🥇🥇🥇தரமா டீஸர் அதேபோல் படமும் தரமாக இருக்கும்	Positive
89	89	Maximum intha mathiri msg kudukara reality Film yarum hit panna matanga ipo apdtha poitu iruku.but intha story kandipa success agum I love always samuthrakani sir film	Positive
90	90	100k likes in 30 mins Thala phoenix	unknown_state
92	92	spidermna, batman,heman etcman Make way t Spark	Negative
93	93	Dai yaru da editor ivalo mosama iruku trailer cut	Negative
94	94	wow wow wow wow wow Vijay Anna superrrrrrrr	Positive
95	95	Ena elarum comment panumbothu Indha caste saarbaga valthukkal, indha caste saarbaga valthukal nu potutu irukinga? First naama elorum Tamilargal. Indha jaathi than elarayum ivlo naala pirichi vechirukku...even comment la paarunga...rendu perumae tamilan than...ana epadi thitikiraanunga. Indha vishayathil periyaar sonadhu sariyae...jaathi olizhya vendum...ovvoru manidhanukkum ovvuru vidhamana thiramai irukum...adha paathu mathavanga peruma padanum...poramai illai. Naam tamilar enbahil perumai kolvom	Mixed_feelings
96	96	Maratha samukutha Sarbaka Padam Vetri Pera Vaazthukal	Positive
97	97	Ithula aarambathula Raana sethuruvar vivegathula Vivek obray villain	Mixed_feelings
98	98	Suriya Anna masssssssssssssssssssssssssssssssssssssssssssssssssssss Tha  I love suriya	Positive
99	99	இந்த  படத்துக்கு  எவ்வளவு  ஆதரவுனு  இங்க  கமெண்ட்ட  படிக்கும்போதே  புள்ளரிக்குது.  படக்குழுவினருக்கு  படம்  மிகப்பெரிய  வெற்றியடைய  வாழ்த்துக்கள்.	Positive
100	100	பார்ப்பனன் முன்னாடி நீயும் சூத்திரன் அப்படினா தெவிடியப்பையன் அடா பரம்பரை ஒன்னல எதிர்க்க முடியல அனா நாகா எதிர்க்குறோம் உனக்கும் செத்து	Mixed_feelings
102	102	Marana mass na adhu naanga thanda AK Brothers	Positive
103	103	உழுது பூமியில ரத்தம் சிந்தி அரிசி அனுப்புற ஒவ்வொரு ஜீவனுக்கும் இ‌ந்த நாடு நல்லா இருக்குனு உழைக்கிற ஒவ்வொரு தொழிலாளிக்கு‌ம் எல்லாத்தையும் தட்டி கேட்கிற உரிமை இருக்கு வசனம் அனல் பறக்குது	Positive
104	104	கொங்கு வேளாளர் கவுண்டர் சமுதாயத்தின் சார்பாக மனமார்ந்த வாழ்த்துக்கள்	Positive
105	105	Romba naal achi suriya anna padam pathu kandipa sema enjoyment ah irukka pothu	Positive
106	106	Teaser ku munnadi varra antha DMK ad thanga mudiyala	Negative
108	108	Super .... The BGM is Vera level pakka masss	Positive
109	109	Love you vijay.... From MAHESH AND VIJAY FANS	Positive
