	id	sent0	label
0	4305	 Lalettane vellan Indian cinimayil arum ellllaaa...	Positive 
1	3902	 Prthvi raj  unni mukundan  aarya  evide....malty   star   chothramu...	unknown_state 
2	1237	 FDFS book cheyyum ennu urappullavar ivde likikkoo	unknown_state 
3	5277	 Ithu oru onnonnara movie aaanu mone	Positive 
4	3025	 Ente ponnoo ijjathii marana masss	Positive 
5	5658	Idhile aa kochu midukkane  aarum kaanadhe poovarudh	unknown_state
6	6440	BGMil gopisunderinte sound illayirunenkl korachu better aayene	Mixed_feelings
7	5215	 Nov 21 will gonna change Mollywood fate	not-malayalam 
9	2073	 All the best lalletta  oru katta Messi & ikka fan	Positive 
10	4695	 Super heavy  amazing  Ethil aparam onum parayan elaa	Positive 
11	2171	 De pinneyum youtubil trending no 1	Positive 
13	5614	Alla pa mammoka k ethra age	unknown_state
15	13	 Dislike adikan keri like adichath njaan mathramaano?	unknown_state 
16	4289	 adipoli     s	Positive 
17	5077	 nale padam release ann ...appo engana FDFS alle	unknown_state 
18	3410	 Ikkka romajam ikkka uyir poli ennni 21 kannnam	Positive 
19	957	 Lusifer oniladhigam kanubol lagadikumpole enalum kolam	Mixed_feelings 
20	4594	 2017 = puli murugan 2018 = kochunni 2019 = mamangam	unknown_state 
21	4646	 ikka oru rakshayum illa ajathi item	Positive 
22	6623	Mudi valarthiya kure aalind....aaa avasanam Vanna payyan eth?	unknown_state
23	394	 Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa	Positive 
24	4363	 Sunny chechi ullath kond cinema jayikum	Positive 
25	5225	 Ejjathi ponne vere lvl trailer  Pratheeshakalkumapuram	Positive 
26	5075	 Aentae ponnoo ithu vaerae level thannae laletta umahhh	Positive 
27	2401	 Mammookka luv	not-malayalam 
29	5272	 AsiF Ali fansinte vaka Ella vidha ashamsagalum	Positive 
30	4170	 Virus trailer kande evide vannavare undo	unknown_state 
31	4274	 Ethra viewers aayi ennu nokkaaan vannar adi like.	unknown_state 
33	3150	 eee mammunnikk 10 million onnum ethikkaanulla traniyilla	Negative 
34	610	 E  adaaar item adaaar item ennu paranchal entha ennu eppalla manasilayathu	Positive 
36	2900	 Mammunikal kuthiyirunn Dislike adikunund🤣🤣bloody patti theetams	Negative 
37	2045	 Njanentha ipam kande... Ivide enna oru BGM	Positive 
38	3988	 Ithu polikum pappan marana massanengil pullu giri kola massanu jayettante first gangster underworld movie	Positive 
39	5070	 Poli ee movie oru charithram aaagum	Positive 
40	956	 Ente entra Kali kandittullavananu nii	unknown_state 
41	2889	 Dialog delevery shariyayilla.....act super aayirikkum mass lalettan	Mixed_feelings 
42	3049	 oronnu padam pidikan irangum..paisa poyathinte  deshyam kondanu ivide trailer thappipidichu comment cheyyunnnathu..arum kanallu .. thank me later	Negative 
43	3160	 Dislike adikkunnavar trailer kaanathe dislike adikkan mathram vannavar..	Negative 
44	1582	 Also hats off Depak Dev bgm	not-malayalam 
45	3639	 Ittychante Vakka Oru Simple Vedikatte  Ufff  Adi Makkale Like	unknown_state 
46	1450	 Katta Dileep Ettan Fans um Ee Movie vijayikyum ennu ullavar Adi like	unknown_state 
47	6321	Trailer veeddu veeddum kaanunnavar iddaggil like adi	unknown_state
48	5484	Adipoli... Kidu kidu kidu... First day first show... #mammookka	Positive
49	5341	 Mamooka fans like adikan ula place	unknown_state 
50	4206	 Adipoli set move ayirikum .....a10 thagarkum	Positive 
51	2931	 Id kanditt bestt actor movie ormma vanna arenkilum undoo	unknown_state 
53	3900	 Pokkiraja pole full masa entertainment allann thonunnu..nallaru storyum ullath pole 🥰	Positive 
54	2407	 Trending 1 just 5 hours	not-malayalam 
55	2920	 Oru KGF manakunundo...   Alla KGF ne thakarkkunna oru Mass item manakunund...	Positive 
56	3579	 Ithu award padam aano full slow aanallo	Negative 
57	5340	 Ithinte munnil Paavam madhuraraja entu aakumo ento... Mikkavarum sugar koodi chaakum madhura-raja ... Paavam mammunni...	Negative 
59	4092	 Lalettan fan but aa lastle chadeet oru pedayille polichuuu	Positive 
60	3511	 0:49 il varunna acress ine ethoo cinema yil kanda orma.. ethayirunnu?🤔	unknown_state 
61	2062	 കുരു കുറെ എണ്ണത്തിനു പൊട്ടുനീണ്ടു  ...trailer upload avunathinu munbe thane 3k+ dislike ayiii....Ntha cheyale rodhanam	Negative 
63	1756	 athoru valiya kadhayaa monee . paranju thudagiyaa......................super dialogue	Positive 
65	6525	Oru mass +class padam anu eenu ourapichu	Positive
66	5128	 Trailer kaanum mumb like adichath aaroke???	unknown_state 
67	5807	Jai jai jai lalettan ki jai	Positive
68	6582	Koora Trailer iyalkku ee pani nirthi pokkode	Negative
69	5287	 Ouru twist manslayi raja elextionu nikkum ..... Opposite to dady Girija	unknown_state 
71	4397	 81 k views 141 k like🤔🤔🤔	unknown_state 
72	4838	 Moopar ottakka vannad... ottak thanne kond povum.... Raja	Positive 
73	3903	 Mammooty last 15mnt ulu e filmil	unknown_state 
74	6219	Haters dislike ... Paavo ithrakkum pediyaano oru padavam verunne... Kaishttam haters🤣	Negative
75	390	 kidu  katta waiting    mamamookkaaaa	Positive 
76	2611	 last le aa idi ntammooo Range saanam	Positive 
77	6248	I'm from Bengaluru	unknown_state
78	1177	 Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane	Positive 
79	1459	 Minimum 3 Thavana kanathathayi arum kanilla....	Positive 
