	id	sent0	label
0	4053	 Dislike pottu kadupetararu my Lord	Positive
1	5855	 Semma masss...ithuvaikkum annnane ippadi paathathe illa	Positive
2	9654	 OMG ninaichi pakatha alavuku sema trailer ma.....	Positive
3	7193	 Sirappana tharamana sampavangala inimae than pakka pora	Positive
4	2269	 Kaliiiii....tahlaivaa vangaaaaaa ithutha ethirpartheennnnn......lateaa vanthalum.latesta varuvendaaaa	Positive
6	11057	 Thalaiva back.....kola gandula irukan oth*** odiru	Negative
7	13373	Romba Nalaiku Apram Palaya Rajiniya Pakkura Madhri Oru Feeling ..	Positive
8	3665	 Lite ah dark Knight vaada varudhu??	Positive
9	3943	 Kabali record break pani romba naal achu	Positive
10	13224	Intha Diwali BIGIL Diwali dan  Theriya vendiyathu eilla  Ketkalaaaa Sathamaaaaaa  Podra vettu intha Diwali BIGIL Diwali	unknown_state
11	3789	 Vera vera vera level thalaiva Ani bgm tharikuthu karthic makes magicvjs superrr sasikumar	Positive
12	9586	 Andra Pradesh Ajith fans like here	Positive
13	10742	 Pakurathuku chinna payan madiri style ha irukinga,, Thalaivar mass	Positive
14	6817	 Oruthar mela nenga visawasam katrarukaha innoruthara yen asinga paduthuringa... Paaa real life dialogue.. Super.	Positive
16	3180	 Yarellam Neraya! Neraya! Neraya! Thadava Pakuringa	Positive
17	2623	 ivanuku nadikave varathu...intha padam oduna mathiri than...en da comedy pandringa...build up kuduthu kuduthe onnum illama aakidunga...	Positive
18	14127	vikram oru maga nadigan its true	Positive
21	10953	 Ohhhhhhhhh my goddddddddddd!!!! Thalaivaaaaaaaaaaaaaaaaaaaa WHAT A FIRE ON YOU	Positive
22	1597	 Kandasamy and Mugamoodi mixed nu nenaikre....	Positive
23	4652	 Neriya neriya neriya neriya neriya thadava trailer ah  pathutan....	Positive
24	10289	 marninng elunthu undan thala tharishanam thaan	Positive
25	14436	1 million likes varumnu solravanga mattum oru like podunga	Positive
26	4648	 Real competition Kaithi and sanga tamilan   Nega rendu perum orama poi vilaiyaduga -Bigil	Positive
28	9973	 bala sonna mathiri ... tamizh cinimavuku dhanush oru varaprasatham than....	Positive
29	15633	Hw is Possible 94K views 107k Likes.....	unknown_state
30	10493	 Enna da over buildup ah iruku	Negative
31	1243	 Yaarellam video pakkurathk munnadiye like button click pannuninga	Positive
32	11019	 , Best tamil movie 2.0  3d experience me .	Positive
33	11014	 It's look like a Telugu film mahalakshmi	Negative
34	1382	 Teaser unmailaye nalla irukkunu solravanga yaru?	Positive
35	15405	Unnanoda rasiganu nenja nimuthi solluven  en kanne kalanguthu	Mixed_feelings
37	3108	 45k dislike kunji boy fans	Negative
38	5210	 1.8k dislikes.. haha vairuna eriyathana seium....	Positive
39	3249	 Petta blockbuster avum nu solraavnga like podunga	unknown_state
40	1673	 semma 2.0.....kanna suma trailer tha main picture innu pakilla. . suma adrudhuilla	Positive
41	13045	Dai ithu paka Telugu pada trailer dubbing pana Mari iruku da	Negative
42	13741	15k dislike kamal fan na thaan irupaanga	Mixed_feelings
43	14563	Thekatta thekatta graphics idhe padathukku oru minus aa irukka pogudhu	Negative
44	10764	 Yarellam andha coca-cola kudukura scene ah pause pani pathinga?	Negative
45	9618	 Nice trailer from vj fan Rangaraj pandey kaagave  padam paakalam	Positive
46	4402	 Petta title Tamil la paathadum Cull nu yaarku therinjadhu?? Like pannunga...	unknown_state
48	2730	 Enna da kadaisila kaththi bgm varthu	Negative
49	13705	Marana mass Thala Vera level	Positive
50	6771	 Thalaiva Vijay sethupathi Nawazuddin Bobby simha Simran Trisha Sassi kumar Megha Akash  Semma cast	Mixed_feelings
51	195	 sam c.s vera level ya un bgm	Positive
52	1897	 no one can kill once idea     nikola tesla	Positive
53	15635	I am thalapathy fan but idhula thala semmaya irukaru	Positive
54	8660	 trending #1 in singapore...superstar maaaass,marannna maaasss..	Positive
55	11947	 Tapsee pannu yave vechu eduthu irundha nalla irundukko.. #pink movie in Hindi	Positive
56	14987	Comments ah 26k pa vera lvl	Positive
57	1064	 Vijay sethupathi fans hit like	unknown_state
58	11688	 John wick Tamil remake mari iruku	Mixed_feelings
59	13262	In ten minutes 2.5 million views	Positive
60	7019	 Romba overa tha poramo povom, enna pannituvanga   But, trailer nalla irukku pa	Positive
62	8878	 Ik baat smj ni i trailer ma bolte bhot hi kum ha	not-Tamil
63	14692	Pettai release aana odane tamilrockers illana isaimini le paaka poravunga hit like here	unknown_state
64	12269	 BIGIL WILL EAT KAITHIMARK MY WORDS	Negative
66	5540	 Dai antha vijay cmku aasapaduran .Aana en thala eppayumae mass da .	Negative
67	5910	 Evanavathu Trailer Nalah iruku,Intha frame nalah irukunu solranah paru....Hit Like nu Varanunga Youtube ah da ithu..	Mixed_feelings
68	10891	 Rajinikandh sir innum ungaluiku 30 vayasu than poga Vera level	Mixed_feelings
69	1912	 Avara Contol Pannunga Pls...  Vera level expression...  Thala...	Positive
