	id	sent0	label
0	0	Vani bhojam fans hit like solli 500 like Vangida Vendiyathu than	unknown_state
2	2	ennaya trailer Ku mudi Ellam nikkudhu... Vera level trailer..	Positive
3	3	Vijay Annaa  Ur Maassssss Therrrrriiiiii	Positive
6	6	Vjs Anna kaaga like potavanga  Like pannuga	unknown_state
7	7	Theri!!! Semma Theri!! JOSEPH kuruvilla & VIJAY kumar are just awesome kumar	Positive
8	8	Ithu yethu maathiri illama puthu maathiyaala irukku	Positive
9	9	Wow! Back to Baasha mode..thalaivaaaa.petta paraakkkkk	Negative
10	10	it not vijay hair ,,,, hair setup paaa	Mixed_feelings
11	11	2018 la intha teaser a pathavanga like pannunga	unknown_state
12	12	Ye Kya kardi kangna ne.....? 🤣🤣	not-Tamil
13	13	சாதி இல்லனா தமிழ்நாடும் இல்லைஅரசியலும் இல்லை வன்னியர் இல்லன அரசியலே இல்லை	unknown_state
14	14	ஆண்ட சாதி, ஆண்ட சாதி  னு ஆயிரம் முறை சொல்லி , அதில் இருக்கும் தப்பை மட்டும் வெளிச்சம்போட்டு,எல்லாரையும் நோகடித்து, குற்ற உணர்ச்சி அடையச் செய்தால் அது புரட்சிப் படம். சமூகத்தில் இருக்கும் உண்மையான நாடகக் காதல் விஷயத்தை சொன்னால் அது சாதிப் படம். அவ்ளோதான் சார் போராலீஸ்!!	Mixed_feelings
15	15	Please support friends my tik tok id aravindking5007	unknown_state
16	16	Thala mass song        by            Sk007	Positive
17	17	டேய் பா ரஞ்சித் நாங்களும் படம் எடுப் போண்டா	Positive
18	18	kullan fans comments pottu manasa Thethikkunga Vera vazhiye illa?	unknown_state
19	19	Thaaaaaa vera level... #str  #aravindhsamy #VJS #arunvijay	Positive
20	20	Arjun sir kaage poi padam pakelam	Positive
21	21	Podo thakida thakida, semma semma, waiting....	Positive
22	22	விழிப்புணர்வு குழந்தை பருவத்தில் இருந்தே பெற்றோர்கள் சொல்லி கொடுத்து வளர்கனும், கட்டப்பஞ்சாயத்து செய்பவனை,அனைவரும் ஒன்று சேர்ந்து, தனிமை படுத்தவேண்டும்,பெண்களின் மானத்துடன் விளையாடும் அமைப்பு அழியும் காலம் இது	unknown_state
24	24	Rasiganai rasikum Thalaivaaaaa.....unakkaka tha Thala waiting.......	Positive
25	25	ayyayyo . sruthihassan     . ellame poch	Negative
26	26	Tamilnadu ahhh THALA voice nala Thalahduthu	Positive
27	27	96 ல ஆத வசனம் 2016 இல்	unknown_state
30	30	Ithu puthusa irukune puthusa irukku. .....	unknown_state
31	31	Vera level. . Waiting for FDFS	Positive
32	32	great bgm by santhosh Narayanan... outstanding	Positive
33	33	ராமநாதபுரம் மாவட்டம்  யாதவ சமுதாயம் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்	Positive
34	34	Telugu  Thala fan's hit likes	Positive
35	35	Kongu maveran yuvaraj avargalin valkaiyai pradibalikum intha thiraikaviam vetri adaya vazthukalnamakkal kongu vellar sangam sarbil vazthukal	Positive
36	36	நான் #உடையார் அனைத்து சாதியும் ஒன்றினைந்து நாடக காதல் ரஞ்சித் திருமா போன்ற தெருநாய்களை ஒழிகக் வேண்டும்...	Positive
37	37	செரிமானக்கோளாறை சீராக்கி பசியைதுாண்டும் கொய்யா இலையின் சிறப்புத்தமிழ் ,  நெறியான வாழ்வுமுறை சரியான வாழ்க்கை தரும் ௭ன வரலாறு கூறும் தமிழ்  ,  விரிவான வளமை கொண்டு அறியணை அமா்ந்ததமிழ் அறிய மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை யூ டியூப் ல் காணுங்கள் நன்றி.	Mixed_feelings
38	38	Trending 2# in Sri Lanka	not-Tamil
39	39	Nice Teaser and thuppakki. 2 mathiri erukku Vera level teaser	Positive
40	40	Kaagam karaindhu koodi unnum, Manidham ennum moodar koodam koodi serdhu pagaimai kollum... Idil yaar uyarthinai yaar agrinai	Mixed_feelings
41	41	night full ah watch panna pora trailer ah nega yarum night full ah PAKKA poringala Frnd	Mixed_feelings
42	42	சாதிகள் இல்லையடி பாப்பா....பாரதியின் கனவு வெறும் கனவாகவே போய்விட்டது...	unknown_state
43	43	Saavatha iruntha sanda poottu saavanu sir Payanthu kaala vilunthu saava koodathu	unknown_state
44	44	Va Va Bhairva....Ungal varugaikaga kathirukiroom....Kovai Youth Welfare Vijay Fans Club	Positive
45	45	Seriously I'm saying ladies direct pandra padam ethana thadava venalum pakalam because storyla neriya vishayam iruku nama kathuka.....	Positive
46	46	Rakul & Sai Pallavi My Combo	Positive
47	47	neraya neraya neraya neraya neraya neraya what a powerful performance.	Positive
48	48	Vandha raja vah dhaan varuven  Vera level str	unknown_state
49	49	தன் அரசியல் லாபத்திற்காக, மாணவர்களையும் இளைஞர்களையும் சீரழித்துள்ளார், சரக்கு மிடுக்கு தலைவர்.	unknown_state
51	51	எந்தெந்த youtube channel காரங்க எல்லாம் இதை ஜாதி வெறி படம்குறாங்களோ அவங்கெல்லாம் அந்த ஜாதி என்றறிக.	Negative
52	52	Bgm fight vera level  Waiting augest	Positive
53	53	Dai pundaikku poranthavane ni la vijay anna va pathu sirikka  Dai unga amma yepdi da unna petha  Devidiya intha comments ku ans pannu la  Ni thoothukudi va un sunni ah vetti poduren	Negative
54	54	you are anti indian tamil 🤣	Negative
56	56	Avengers சார்பாக வெற்றி பெற வாழ்த்துகள்!!! அவெஞ்சர்ஸ் அசெம்பில்!	unknown_state
57	57	taliva we r waiting..s3 da ..	Mixed_feelings
58	58	1:23 ku yaarellam gubeer nu sirichinga	unknown_state
59	59	Vera level dhanush anna GV bgm	Positive
61	61	Today trailer paaka yaarellam wait panreenga	unknown_state
64	64	Ada paavingala mangatha theme. Aaa. Slow. Motion la potrukinga.. 🤬🤬	Negative
65	65	Kangana look like same I just love this first look	Positive
66	66	wowwwwwwwwww thalaya aaaaaa masssssssss dialogue waiting for thala rage	Positive
67	67	3 supar dupar star akshaya rajnikant and any jackson wow amazing	Positive
69	69	598K left for 15M views	unknown_state
71	71	Koiyala enna style Da thalaivar....pinara Thalaiva..	Positive
72	72	Suriya anna kola waiting Thalaiva Kerala Singakotta Therikkapoguthu	Positive
73	73	Kiruku thanamana oru trailer...idhunala yaruku enna use	Mixed_feelings
74	74	NGK ku Marana waiting yapo varum	Positive
